"","sens","gamma","z0","zi","L","zcut","deposition"
"1",1,0,0.55118,0.44882,0.26772,0.25984,0.000298456566590785
"2",1,0.007874,0.25984,0.22047,0.3622,0.83465,0.000284672193193053
"3",1,0.015748,0.75591,0.26772,0.33071,0.7874,0.000293661097304991
"4",1,0.023622,0.85039,0.8189,0.6063,0.72441,0.000287718773359144
"5",1,0.031496,0.31496,0.71654,0.2126,0.62992,0.000289044793570483
"6",1,0.03937,0.68504,0.67717,0.047244,0.37795,0.000314063112844818
"7",1,0.047244,0.66929,0.11811,0.43307,0.65354,0.000288168449028453
"8",1,0.055118,0.11811,0.83465,0.77953,0.73228,0.000261073849774839
"9",1,0.062992,0.94488,0.72441,0.10236,0.40157,0.000304694800381874
"10",1,0.070866,0.29134,0.13386,0.48819,0.55906,0.000270585829951048
"11",1,0.07874,0.26772,0.07874,0.5748,0.070866,0.000269253450759536
"12",1,0.086614,0.86614,0.062992,0.69291,0.44094,0.000272351822088055
"13",1,0.094488,0.65354,0.94488,0.66929,0.85039,0.000261157731950663
"14",1,0.10236,0.44094,0.99213,0.1811,0.29921,0.000276306711700241
"15",1,0.11024,0.98425,0.50394,0.6378,0.03937,0.000260397400678746
"16",1,0.11811,0.80315,0.46457,0.37008,0.13386,0.000264791678550195
"17",1,0.12598,0.29921,0.89764,0.50394,0.8189,0.000240668068551773
"18",1,0.13386,0.47244,0.40945,0.81102,0.68504,0.000240213988915407
"19",1,0.14173,0.64567,0.10236,0.29921,0.49606,0.000252786496286222
"20",1,0.14961,0.84252,0.48031,0.88976,0.87402,0.000243664839123075
"21",1,0.15748,0.51181,0.44094,0.11024,0.66929,0.00026894035037377
"22",1,0.16535,0.6378,0.64567,0.54331,0.20472,0.000234220114535419
"23",1,0.17323,0.11024,0.51181,0.55906,0.9685,0.000209405361824151
"24",1,0.1811,0.20472,0.35433,1,0.58268,0.000198924946352231
"25",1,0.18898,0.70079,0.79528,0.96063,0.5748,0.000212917377051545
"26",1,0.19685,0.13386,0.66929,0.9685,0.031496,0.000190990814356103
"27",1,0.20472,0.77165,0.85827,0.07874,0.69291,0.000274934652213471
"28",1,0.2126,0.4252,0.51969,0.72441,0.07874,0.000196197605736864
"29",1,0.22047,0.19685,0.23622,0.25197,0.23622,0.000200182017186594
"30",1,0.22835,0.094488,0.12598,0.49606,0.28346,0.000170159314497183
"31",1,0.23622,0.71654,0.98425,0.44094,0.14173,0.000206467481604812
"32",1,0.24409,0.46457,0.49606,0.97638,0.27559,0.000179533133006243
"33",1,0.25197,0.90551,0.82677,0.16535,0.74803,0.000236613964389732
"34",1,0.25984,0.24409,0.85039,0.086614,0.44882,0.000225183637488957
"35",1,0.26772,0.047244,0.5748,0.17323,0.6378,0.000157828038123393
"36",1,0.27559,0.007874,0.7874,0.53543,0.094488,0.000133198890980979
"37",1,0.28346,0.015748,0.58268,0.82677,0.93701,0.000132368311705183
"38",1,0.29134,0.89764,0.29134,0.7874,0.88189,0.000177897836684742
"39",1,0.29921,0.023622,0.52756,0.023622,0.89764,0.000179141771970175
"40",1,0.30709,0.88189,0.75591,0.76378,0.16535,0.000170215700752098
"41",1,0.31496,0.45669,0.047244,0.52756,0.11024,0.000161229161010887
"42",1,0.32283,0.40945,0.53543,0.74803,0.38583,0.000149392114670715
"43",1,0.33071,0.070866,0.28346,0.18898,0.71654,0.000135898246229387
"44",1,0.33858,0.33858,0.59843,0.20472,0.023622,0.000171816945713885
"45",1,0.34646,0.2126,0.59055,0.23622,0.77953,0.000152211145593589
"46",1,0.35433,0.55906,0.40157,0.94488,0.96063,0.000141328884575624
"47",1,0.3622,0.52756,0.1811,0.64567,0.22047,0.000142395175838317
"48",1,0.37008,0.62992,0.92913,0.8189,0.74016,0.00014097273042728
"49",1,0.37795,0.41732,0.070866,0,0.30709,0.000288649454756439
"50",1,0.38583,0.99213,0,0.37795,0.26772,0.000164356387134742
"51",1,0.3937,0.18898,0.84252,0.19685,0.24409,0.000136897807635829
"52",1,0.40157,0.92913,0.68504,0.66142,0.46457,0.000140348751104428
"53",1,0.40945,0.69291,0.32283,0.59055,0.1811,0.000134543344198888
"54",1,0.41732,0.62205,0.56693,0.094488,0.59843,0.000207385660584142
"55",1,0.4252,0.81102,0.15748,0.4252,0.95276,0.000142845833259199
"56",1,0.43307,0.37795,0.37795,0.88189,0.11811,0.00010645914789546
"57",1,0.44094,0.87402,1,0.40157,0.25197,0.000142919805451123
"58",1,0.44882,0.7874,0.17323,0.92126,0.3937,0.000114051398769328
"59",1,0.45669,0.32283,0.38583,0.46457,0.79528,0.000105783960829122
"60",1,0.46457,0.33071,0.086614,0.015748,0.33071,0.000270986020384932
"61",1,0.47244,0.14173,0.094488,0.55118,0.85827,8.28550097360509e-05
"62",1,0.48031,0.23622,0.4252,0.95276,0.91339,8.40686892400674e-05
"63",1,0.48819,0.92126,0.70079,0.22047,0.86614,0.000156082996932688
"64",1,0.49606,0.58268,0.27559,0.80315,0.61417,9.8892654711181e-05
"65",1,0.50394,0.82677,0.41732,0.31496,0.007874,0.000134806955143735
"66",1,0.51181,0.48819,0.31496,0.75591,0.80315,9.31068871398205e-05
"67",1,0.51969,0.93701,0.20472,0.11811,0.53543,0.000180881465082774
"68",1,0.52756,0.3622,0.90551,0.67717,0.88976,8.42030115166854e-05
"69",1,0.53543,0.14961,0.18898,0.59843,0.51181,6.66082402251696e-05
"70",1,0.54331,0.67717,0.14961,0.79528,0.70079,9.24657246488399e-05
