"","sensor","kernel","gamma","z0","zi","L","zcut"
"1",1,"gauss",0.187279759422735,0.226921608314293,0.0989084150118975,0.181823231873532,0.105382313040823
"2",1,"exp",0.189571296222897,0.148481101982335,0.127365093997271,0.116359380384958,0.16390364156941
"3",1,"matern5_2",0.160203285012474,0.19339173686368,0.158806948986021,0.244106804873761,0.146121161575677
"4",1,"matern3_2",0.192798333151248,0.177852003616843,0.0925177904152613,0.158467113168113,0.143057540457242
"5",1,"powexp",0.156524216791035,0.175901508405448,0.0697607354033478,0.118145917475809,0.0998298815432177
"6",2,"gauss",0.17199581299239,0.191553892534476,0.0927918582807315,0.195751405514415,0.0821015275569225
"7",2,"exp",0.168574379477014,0.237698400121474,0.175740177548598,0.184822109154901,0.194333046653394
"8",2,"matern5_2",0.141974343079814,0.203473604930344,0.120761008615847,0.213685891949085,0.0926596789140197
"9",2,"matern3_2",0.216138458196838,0.231666877943305,0.125651219563452,0.192611161541366,0.136126881875774
"10",2,"powexp",0.120468120762817,0.13351018994083,0.100277676966577,0.173254853301403,0.0802888741187723
"11",3,"gauss",0.248826688821281,0.143393118655824,0.0888158654199322,0.209718052647493,0.114158592616079
"12",3,"exp",0.193963733326442,0.264933226961233,0.20313067958762,0.233215143097571,0.155094101052684
"13",3,"matern5_2",0.282040156765429,0.206590566023108,0.112833595591381,0.186775076345171,0.123725962248752
"14",3,"matern3_2",0.189411945672852,0.242708470422079,0.129021551846625,0.195267327111144,0.121514678604597
"15",3,"powexp",0.17868276634923,0.226953301100177,0.207841627302958,0.290008117794636,0.183894252203724
"16",4,"gauss",0.183851486312589,0.175256048669206,0.112613002382231,0.211356870266917,0.0926691627441097
"17",4,"exp",0.166596492533208,0.151379195248773,0.121402854503153,0.19998023266469,0.106624053912771
"18",4,"matern5_2",0.193789271485722,0.20586693352683,0.121697981449269,0.157702419875838,0.10209934058465
"19",4,"matern3_2",0.164038929435143,0.269053553552633,0.149811572724158,0.215303258395166,0.184455683471316
"20",4,"powexp",0.192125833476303,0.204511652701193,0.126452192868831,0.170718512806851,0.144410047721321
"21",5,"gauss",0.171969041396644,0.136110435297814,0.0645783958331232,0.209683826680076,0.0675442992687006
"22",5,"exp",0.236970810209522,0.191499579098902,0.16772692781806,0.224224068146561,0.160907526617022
"23",5,"matern5_2",0.231012103996459,0.213017995674235,0.182781502179967,0.179616130012548,0.144137856954747
"24",5,"matern3_2",0.183924195400758,0.23920754848616,0.104091214373106,0.142963963559704,0.116153783828515
"25",5,"powexp",0.182742074888395,0.204959765738138,0.180652002477013,0.205677612517692,0.177638733606504
"26",6,"gauss",0.115976542404957,0.192547797139792,0.0533590506691267,0.116215443829582,0.0517241138014502
"27",6,"exp",0.192947983424423,0.22554258319836,0.177423162524862,0.176792861797099,0.136427461176169
"28",6,"matern5_2",0.192694665221036,0.218840095153173,0.165637791169247,0.203000896735222,0.132096658178564
"29",6,"matern3_2",0.18621179603723,0.168791269617756,0.082299777245359,0.179205054100842,0.129491191150003
"30",6,"powexp",0.0687379698960143,0.120329870982023,0.106354887000537,0.123068049369989,0.0388650783091902
"31",7,"gauss",0.210150085026245,0.188313488567103,0.155518564334048,0.209895138619261,0.147712172244908
"32",7,"exp",0.178359652388229,0.219832962619134,0.175354806126089,0.186958514761331,0.202012312073351
"33",7,"matern5_2",0.205651022865426,0.225495143159854,0.140789697886639,0.191866199903815,0.104325356618231
"34",7,"matern3_2",0.14204333299351,0.150445542170181,0.0775841051238373,0.203212143177709,0.146745628506731
"35",7,"powexp",0.151962901913089,0.116501603542624,0.0748930916495491,0.164113579255506,0.104590998323804
"36",8,"gauss",0.183399222060038,0.196886865475925,0.096980112753139,0.260161108709315,0.0932525296242603
"37",8,"exp",0.156109424331474,0.18015590724631,0.133523314035564,0.234013376376255,0.205301381565284
"38",8,"matern5_2",0.203460341752664,0.177203805594731,0.182632117155216,0.257375261638303,0.131032421443673
"39",8,"matern3_2",0.152723770946903,0.148322420669793,0.07176119779266,0.158452409929361,0.0927059706800383
"40",8,"powexp",0.21616357781883,0.237471431136324,0.184702952888659,0.216214673200052,0.220529511946641
"41",9,"gauss",0.198851163348286,0.245849288702979,0.14826161499652,0.234118221446005,0.147078345335413
"42",9,"exp",0.208474996999476,0.193796397046394,0.226158777363792,0.24083449156034,0.196239184410529
"43",9,"matern5_2",0.145539806778069,0.147054766458962,0.157896057294162,0.172945063454986,0.135118990256717
"44",9,"matern3_2",0.214741166397568,0.195995883844164,0.144593631397468,0.192145162894218,0.115126292947553
"45",9,"powexp",0.135477512973147,0.193132650973189,0.10399423297267,0.137938000542821,0.0710066381198328
